GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Calculator-Linda,Calculator_Linda.Calculator_Linda,CalcJFrame.new ActionListener() {...},29,0,0,0,7,0,2,0,2,0
Calculator-Linda,Calculator_Linda.Calculator_Linda,CalcJFrame.new ActionListener() {...},29,0,0,0,7,0,2,0,2,0
Calculator-Linda,Calculator_Linda.Calculator_Linda,CalcAdv,0,47,0,2,0,14,0,9,0,8
Calculator-Linda,Calculator_Linda.Calculator_Linda,CalcJFrame.new ActionListener() {...},29,0,0,0,7,0,2,0,2,0
Calculator-Linda,Calculator_Linda.Calculator_Linda,CalcJFrame.new ActionListener() {...},29,0,0,0,7,0,2,0,2,0
Calculator-Linda,Calculator_Linda.Calculator_Linda,CalcJFrame.new ActionListener() {...},16,0,0,0,3,0,2,0,2,0
Calculator-Linda,Calculator_Linda.Calculator_Linda,CalcBasic,0,33,0,0,0,11,0,6,0,6
Calculator-Linda,Calculator_Linda.Calculator_Linda,CalcJFrame.new ActionListener() {...},28,0,0,0,7,0,2,0,2,0
Calculator-Linda,Calculator_Linda.Calculator_Linda,CalcJFrame.new ActionListener() {...},29,0,0,0,7,0,2,0,2,0
Calculator-Linda,Calculator_Linda.Calculator_Linda,CalcJFrame.new ActionListener() {...},29,0,0,0,8,0,2,0,2,0
Calculator-Linda,Calculator_Linda.Calculator_Linda,CalcJFrame.new ActionListener() {...},29,0,0,0,8,0,2,0,2,0
Calculator-Linda,Calculator_Linda.Calculator_Linda,CalcJFrame.new ActionListener() {...},41,0,2,0,8,0,3,0,2,0
Calculator-Linda,Calculator_Linda.Calculator_Linda,CalcJFrame.new ActionListener() {...},29,0,0,0,8,0,2,0,2,0
Calculator-Linda,Calculator_Linda.Calculator_Linda,CalcJFrame.new ActionListener() {...},29,0,0,0,8,0,2,0,2,0
Calculator-Linda,Calculator_Linda.Calculator_Linda,CalcJFrame.new ActionListener() {...},12,0,0,0,3,0,2,0,2,0
Calculator-Linda,Calculator_Linda.Calculator_Linda,CalcMain,13,0,0,0,4,0,2,0,2,0
Calculator-Linda,Calculator_Linda.Calculator_Linda,CalcJFrame.new ActionListener() {...},29,0,0,0,4,0,2,0,2,0
Calculator-Linda,Calculator_Linda.Calculator_Linda,CalcJFrame.new ActionListener() {...},29,0,0,0,4,0,2,0,2,0
Calculator-Linda,Calculator_Linda.Calculator_Linda,CalcJFrame.new ActionListener() {...},29,0,0,0,4,0,2,0,2,0
Calculator-Linda,Calculator_Linda.Calculator_Linda,CalcJFrame,925,0,0,0,152,0,2,0,2,0
Calculator-Linda,Calculator_Linda.Calculator_Linda,CalcJFrame.new ActionListener() {...},29,0,0,0,4,0,2,0,2,0
Calculator-Linda,Calculator_Linda.Calculator_Linda,CalcJFrame.new ActionListener() {...},29,0,0,0,4,0,2,0,2,0
Calculator-Linda,Calculator_Linda.Calculator_Linda,CalcJFrame.new ActionListener() {...},29,0,0,0,4,0,2,0,2,0
Calculator-Linda,Calculator_Linda.Calculator_Linda,CalcJFrame.new ActionListener() {...},189,0,14,0,25,0,9,0,2,0
Calculator-Linda,Calculator_Linda.Calculator_Linda,CalcJFrame.new ActionListener() {...},29,0,0,0,4,0,2,0,2,0
Calculator-Linda,Calculator_Linda.Calculator_Linda,CalcJFrame.new ActionListener() {...},29,0,0,0,8,0,2,0,2,0
Calculator-Linda,Calculator_Linda.Calculator_Linda,CalcJFrame.new ActionListener() {...},29,0,0,0,4,0,2,0,2,0
Calculator-Linda,Calculator_Linda.Calculator_Linda,CalcMain.new Runnable() {...},17,0,0,0,7,0,2,0,2,0
Calculator-Linda,Calculator_Linda.Calculator_Linda,CalcJFrame.new ActionListener() {...},34,0,2,0,4,0,3,0,2,0
Calculator-Linda,Calculator_Linda.Calculator_Linda,CalcJFrame.new ActionListener() {...},29,0,0,0,4,0,2,0,2,0
Calculator-Linda,Calculator_Linda.Calculator_Linda,CalcJFrame.new ActionListener() {...},29,0,0,0,8,0,2,0,2,0
Calculator-Linda,Calculator_Linda.Calculator_Linda,CalcJFrame.new ActionListener() {...},29,0,0,0,4,0,2,0,2,0
